label,a0_RE,e0,a_final_RE,e_final,e_at_a_curr,t_circ_yr,t_circ_kyr,ratio,status
P1-03|fator3|T=atual|L=semi_solida,19.68,0.5000,8.02,0.500000,0.500000,316388.0,316.388,26.3657,PRÓXIMO
P1-03|fator3|T=atual|L=quase_solida,19.68,0.5000,26.66,0.500000,0.500000,500000.0,500.000,41.6667,PRÓXIMO
P1-03|fator3|T=atual|L=transicao,19.68,0.5000,6.63,0.500000,0.500000,21032.1,21.032,1.7527,CONVERGENTE
P1-03|fator3|T=jovem_Q9|L=semi_solida,19.68,0.5000,22.79,0.500000,0.500000,500000.0,500.000,41.6667,PRÓXIMO
P1-03|fator3|T=jovem_Q9|L=quase_solida,19.68,0.5000,28.20,0.500000,0.500000,500000.0,500.000,41.6667,PRÓXIMO
P1-03|fator3|T=jovem_Q9|L=transicao,19.68,0.5000,6.62,0.500000,0.500000,24272.5,24.273,2.0227,CONSISTENTE
P1-03|fator3|T=jovem_Q7|L=semi_solida,19.68,0.5000,26.07,0.500000,0.500000,500000.0,500.000,41.6667,PRÓXIMO
P1-03|fator3|T=jovem_Q7|L=quase_solida,19.68,0.5000,29.53,0.500000,0.500000,500000.0,500.000,41.6667,PRÓXIMO
P1-03|fator3|T=jovem_Q7|L=transicao,19.68,0.5000,6.25,0.500000,0.500000,29477.0,29.477,2.4564,CONSISTENTE
P1-03|fator3|T=jovem_Q5|L=semi_solida,19.68,0.5000,29.12,0.500000,0.500000,500000.0,500.000,41.6667,PRÓXIMO
P1-03|fator3|T=jovem_Q5|L=quase_solida,19.68,0.5000,31.33,0.500000,0.500000,500000.0,500.000,41.6667,PRÓXIMO
P1-03|fator3|T=jovem_Q5|L=transicao,19.68,0.5000,6.81,0.500000,0.500000,47937.9,47.938,3.9948,CONSISTENTE
P1-03|fator5|T=atual|L=semi_solida,29.52,0.6667,14.75,0.666667,0.666667,60535.1,60.535,5.0446,CONSISTENTE
P1-03|fator5|T=atual|L=quase_solida,29.52,0.6667,36.86,0.666667,0.666667,500000.0,500.000,41.6667,PRÓXIMO
