a_lua_i,e_lua_i,M0,inc_lua_i,status,dist_min,t_periapsis,dentro_alerta,dentro_hill,dentro_forte
1.65,0.38,0,0,COLISAO,4.527797321251125e-05,11247.28551599845,True,True,True
1.65,0.38,0,10,ESTAVEL,0.02384838808402725,12.70674635848521,False,False,False
1.65,0.38,0,20,ESTAVEL,0.020912016870040857,1937.7702446708101,False,False,False
1.65,0.38,45,0,COLISAO,0.021215414664382166,268.71148809593706,False,False,False
1.65,0.38,45,10,ESTAVEL,0.020555118922113744,593.7412941857467,False,False,False
1.65,0.38,45,20,ESTAVEL,0.019545593387883507,528.7410393793806,True,False,False
1.65,0.38,90,0,COLISAO,0.00019269713406332555,14781.208973195688,True,True,True
1.65,0.38,90,10,ESTAVEL,0.02089571182978263,283.72356035093776,False,False,False
1.65,0.38,90,20,ESTAVEL,0.0383068130689256,4198.858130187472,False,False,False
1.65,0.38,135,0,COLISAO,5.468352075378688e-05,20971.33985530626,True,True,True
1.65,0.38,135,10,ESTAVEL,0.021919424459465167,403.73867100517197,False,False,False
1.65,0.38,135,20,ESTAVEL,0.02107381232950944,1306.7672855239864,False,False,False
1.65,0.38,180,0,ESTAVEL,0.01968965720535878,96.7054120806008,True,False,False
1.65,0.38,180,10,ESTAVEL,0.020272650231842177,668.738139074455,False,False,False
1.65,0.38,180,20,ESTAVEL,0.019004992050155087,763.7435745734678,True,False,False
1.65,0.38,225,0,COLISAO,0.0070407834341163315,6348.395292666988,True,True,False
1.65,0.38,225,10,ESTAVEL,0.02184306907303323,320.72766215185544,False,False,False
1.65,0.38,225,20,ESTAVEL,0.022080556291687283,2055.8117086957836,False,False,False
1.65,0.38,270,0,COLISAO,4.26263064723552e-05,12910.137932415822,True,True,True
1.65,0.38,270,10,ESTAVEL,0.020941921440002943,262.71787677656187,False,False,False
1.65,0.38,270,20,ESTAVEL,0.019234867697707346,1242.768103051823,True,False,False
1.65,0.38,315,0,COLISAO,0.019297438664044056,603.7627696275989,True,False,False
1.65,0.38,315,10,ESTAVEL,0.02417062745734921,410.72649482837875,False,False,False
1.65,0.38,315,20,ESTAVEL,0.021256258263853894,1088.7226422637373,False,False,False
1.65,0.4,0,0,COLISAO,4.352249485907518e-05,6046.1836273708805,True,True,True
1.65,0.4,0,10,ESTAVEL,0.0006299801533881579,2310.693065364994,True,True,True
1.65,0.4,0,20,ESTAVEL,0.0002897463104462048,4214.703960015687,True,True,True
1.65,0.4,45,0,COLISAO,4.348372314143168e-05,1698.4668238197135,True,True,True
1.65,0.4,45,10,ESTAVEL,0.006510639448487663,2619.720371930483,True,True,False
1.65,0.4,45,20,ESTAVEL,0.002567102817469624,3895.779735134491,True,True,True
1.65,0.4,90,0,COLISAO,0.00033994224427661503,1016.3998111146739,True,True,True
1.65,0.4,90,10,ESTAVEL,0.014488972201898188,1144.7531332679143,True,False,False
1.65,0.4,90,20,ESTAVEL,0.0026037839819323047,4327.891400833992,True,True,True
1.65,0.4,135,0,COLISAO,4.5201652838290395e-05,3202.5514495312314,True,True,True
1.65,0.4,135,10,ESTAVEL,0.0041688713702574594,2286.7181899571265,True,True,True
1.65,0.4,135,20,ESTAVEL,0.004122047762356619,17491.17215570882,True,True,True
1.65,0.4,180,0,COLISAO,0.00021593149189308666,629.843672253959,True,True,True
1.65,0.4,180,10,ESTAVEL,0.003266743737555884,2128.7531940490753,True,True,True
1.65,0.4,180,20,ESTAVEL,0.002387881902433526,4097.85661507773,True,True,True
1.65,0.4,225,0,COLISAO,4.59034322906852e-05,346.7030139217843,True,True,True
1.65,0.4,225,10,ESTAVEL,0.005527570889274251,14620.304802480237,True,True,False
1.65,0.4,225,20,ESTAVEL,0.0027541448890349694,19420.829082536566,True,True,True
1.65,0.4,270,0,COLISAO,0.00024801620084068473,1340.2076825808556,True,True,True
1.65,0.4,270,10,ESTAVEL,0.0006763165979555493,13610.907542150448,True,True,True
1.65,0.4,270,20,ESTAVEL,0.0012318206462278184,3936.908086963118,True,True,True
1.65,0.4,315,0,COLISAO,4.306584251376837e-05,3727.076470307259,True,True,True
1.65,0.4,315,10,ESTAVEL,0.005127523548966433,1851.7542700812924,True,True,False
1.65,0.4,315,20,ESTAVEL,0.003621991075081779,19437.301314233162,True,True,True
1.65,0.43,0,0,COLISAO,4.372636155952493e-05,1417.6364555017528,True,True,True
1.65,0.43,0,10,ESTAVEL,0.0014591111947028362,4297.816355749633,True,True,True
1.65,0.43,0,20,ESTAVEL,0.006281314169793691,40541.1933275154,True,True,False
1.65,0.43,45,0,COLISAO,4.4331224320690325e-05,110.6155456704875,True,True,True
1.65,0.43,45,10,ESTAVEL,0.0026902047171351675,4183.837195568993,True,True,True
1.65,0.43,45,20,ESTAVEL,0.0044283663740934355,23120.020485078545,True,True,True
1.65,0.43,90,0,COLISAO,0.00023906633625037503,6109.843631423878,True,True,True
1.65,0.43,90,10,ESTAVEL,0.002980737506755876,27671.253043839875,True,True,True
1.65,0.43,90,20,ESTAVEL,0.001314688824916679,37058.33816900393,True,True,True
1.65,0.43,135,0,COLISAO,0.0002038128734464894,10391.419360283377,True,True,True
1.65,0.43,135,10,ESTAVEL,0.0003199067020891585,4202.743681305897,True,True,True
1.65,0.43,135,20,ESTAVEL,0.0030383397885994996,38735.70099339112,True,True,True
1.65,0.43,180,0,COLISAO,0.000599394176685782,520.8726606253944,True,True,True
1.65,0.43,180,10,ESTAVEL,0.001882998090938131,28221.477087222433,True,True,True
1.65,0.43,180,20,ESTAVEL,0.0008492906929704977,6053.836964658668,True,True,True
1.65,0.43,225,0,COLISAO,0.0016169355946497345,353.87309033561337,True,True,True
1.65,0.43,225,10,ESTAVEL,0.013646727629746886,3664.7618181132725,True,False,False
1.65,0.43,225,20,ESTAVEL,0.003670371964637196,12850.740022470787,True,True,True
1.65,0.43,270,0,COLISAO,4.407337028992227e-05,20581.139529713622,True,True,True
1.65,0.43,270,10,ESTAVEL,0.0029447923299262433,28571.9026592953,True,True,True
1.65,0.43,270,20,ESTAVEL,0.004863918851924861,23076.050507101376,True,True,True
1.65,0.43,315,0,COLISAO,4.2678087959411226e-05,26185.256726294476,True,True,True
1.65,0.43,315,10,ESTAVEL,0.003979555560017423,27257.34083853104,True,True,True
1.65,0.43,315,20,ESTAVEL,0.0025137202438701455,39179.719257847726,True,True,True
1.65,0.45,0,0,COLISAO,4.321577924891577e-05,9967.019181526366,True,True,True
1.65,0.45,0,10,ESTAVEL,0.0009570254671046472,30564.390068830628,True,True,True
1.65,0.45,0,20,ESTAVEL,0.0031863894373541273,22942.433250648755,True,True,True
1.65,0.45,45,0,EJETADA,5.175964188744914e-05,25902.70620575872,True,True,True
1.65,0.45,45,10,ESTAVEL,0.0035931960904674147,10895.106951858508,True,True,True
1.65,0.45,45,20,ESTAVEL,0.0023279624455854963,49631.175045503696,True,True,True
1.65,0.45,90,0,COLISAO,0.00011623924051175225,4747.038421044641,True,True,True
1.65,0.45,90,10,ESTAVEL,0.0007748907586967492,10702.671787574922,True,True,True
