a_lua_i,e_lua_i,M0,inc_lua_i,status,dist_min,t_periapsis,dentro_alerta,dentro_hill,dentro_forte
1.45,0.38,0,0,COLISAO,0.00380438706023186,941.6821969851395,True,True,True
1.45,0.38,0,10,ESTAVEL,0.0022972931459043617,34460.31316438608,True,True,True
1.45,0.38,0,20,ESTAVEL,0.004294142821923702,9405.984637072339,True,True,True
1.45,0.38,45,0,COLISAO,4.5557752397136854e-05,15928.423252120421,True,True,True
1.45,0.38,45,10,ESTAVEL,0.0022897240614297328,43646.39495005667,True,True,True
1.45,0.38,45,20,ESTAVEL,0.0036336688203736176,43978.16727571261,True,True,True
1.45,0.38,90,0,COLISAO,4.409090792905837e-05,6903.101497634886,True,True,True
1.45,0.38,90,10,ESTAVEL,0.002568212045284163,13047.479097700932,True,True,True
1.45,0.38,90,20,ESTAVEL,0.002739001340537505,42040.89327775647,True,True,True
1.45,0.38,135,0,COLISAO,0.00023656349432720552,2053.622709621953,True,True,True
1.45,0.38,135,10,ESTAVEL,0.0018810346130301086,23814.61443043022,True,True,True
1.45,0.38,135,20,ESTAVEL,0.008058212081794393,32483.064034776842,True,True,False
1.45,0.38,180,0,COLISAO,8.633149968213804e-05,21510.29944757571,True,True,True
1.45,0.38,180,10,ESTAVEL,0.008129807073868059,6305.898618771766,True,True,False
1.45,0.38,180,20,ESTAVEL,0.0027891865664391884,32876.207193039445,True,True,True
1.45,0.38,225,0,COLISAO,4.571715694296174e-05,757.1955126825806,True,True,True
1.45,0.38,225,10,ESTAVEL,0.0033484458536544,42142.97760271565,True,True,True
1.45,0.38,225,20,ESTAVEL,0.005400352908997011,16788.517227454213,True,True,False
1.45,0.38,270,0,COLISAO,4.483196187613782e-05,1416.7200049999265,True,True,True
1.45,0.38,270,10,ESTAVEL,0.0040836487514233685,43963.588110072415,True,True,True
1.45,0.38,270,20,ESTAVEL,0.008876761374045333,16428.97038229173,True,True,False
1.45,0.38,315,0,COLISAO,4.575121748728423e-05,9540.768160813437,True,True,True
1.45,0.38,315,10,ESTAVEL,0.003322036779870616,40106.274295774136,True,True,True
